EX(m),EY(m)
0.0,0.0
0.053,0.76
0.122,1.519
0.2,2.277
0.259,3.037
0.319,3.796
0.372,4.557
0.444,5.315
0.509,6.074
0.576,6.833
0.631,7.593
0.701,8.352
0.814,9.106
1.027,9.837
1.418,10.491
2.093,10.845
2.847,10.955
3.608,10.931
4.368,10.869
5.12,10.748
5.873,10.629
6.622,10.492
7.364,10.318
8.105,10.139
8.847,9.964
9.583,9.77
10.327,9.603
11.079,9.477
11.835,9.382
12.592,9.298
13.344,9.177
14.091,9.027
14.829,8.835
15.483,8.444
15.591,7.69
14.909,7.349
14.148,7.38
13.394,7.49
12.635,7.558
11.878,7.644
11.124,7.755
10.384,7.938
9.728,8.325
9.365,8.995
9.311,9.755
9.418,10.51
9.668,11.23
10.204,11.772
10.939,11.975
11.7,11.952
12.457,11.865
13.213,11.764
13.973,11.708
14.732,11.648
15.492,11.591
16.251,11.52
17.006,11.423
